it.geosolutions.jaiext.binarize:jt-binarize	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.border:jt-border	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.buffer:jt-buffer	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.classifier:jt-classifier	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.colorconvert:jt-colorconvert	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.colorindexer:jt-colorindexer	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.crop:jt-crop	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.errordiffusion:jt-errordiffusion	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.format:jt-format	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.imagefunction:jt-imagefunction	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.iterators:jt-iterators	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.lookup:jt-lookup	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.mosaic:jt-mosaic	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.nullop:jt-nullop	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.orderdither:jt-orderdither	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.piecewise:jt-piecewise	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
